date,employee,group,assignment
2026-08-01,S1,A,OFF
2026-08-01,S2,A,N
2026-08-01,S3,A,M
2026-08-01,S4,A,SB
2026-08-01,S5,A,A
2026-08-01,S6,B,M
2026-08-01,S7,B,A
2026-08-01,S8,B,N
2026-08-01,S9,B,SB
2026-08-01,S10,B,OFF
2026-08-02,S1,A,OFF
2026-08-02,S2,A,N
2026-08-02,S3,A,M
2026-08-02,S4,A,SB
2026-08-02,S5,A,A
2026-08-02,S6,B,OFF
2026-08-02,S7,B,N
2026-08-02,S8,B,SB
2026-08-02,S9,B,A
2026-08-02,S10,B,M
2026-08-03,S1,A,A
2026-08-03,S2,A,OFF
2026-08-03,S3,A,M
2026-08-03,S4,A,SB
2026-08-03,S5,A,N
2026-08-03,S6,B,OFF
2026-08-03,S7,B,A
2026-08-03,S8,B,SB
2026-08-03,S9,B,N
2026-08-03,S10,B,M
2026-08-04,S1,A,N
2026-08-04,S2,A,A
2026-08-04,S3,A,M
2026-08-04,S4,A,SB
2026-08-04,S5,A,OFF
2026-08-04,S6,B,A
2026-08-04,S7,B,M
2026-08-04,S8,B,OFF
2026-08-04,S9,B,SB
2026-08-04,S10,B,N
2026-08-05,S1,A,A
2026-08-05,S2,A,M
2026-08-05,S3,A,OFF
2026-08-05,S4,A,N
2026-08-05,S5,A,SB
2026-08-05,S6,B,M
2026-08-05,S7,B,SB
2026-08-05,S8,B,A
2026-08-05,S9,B,N
2026-08-05,S10,B,OFF
2026-08-06,S1,A,N
2026-08-06,S2,A,M
2026-08-06,S3,A,SB
2026-08-06,S4,A,A
2026-08-06,S5,A,OFF
2026-08-06,S6,B,N
2026-08-06,S7,B,A
2026-08-06,S8,B,M
2026-08-06,S9,B,OFF
2026-08-06,S10,B,SB
2026-08-07,S1,A,N
2026-08-07,S2,A,OFF
2026-08-07,S3,A,A
2026-08-07,S4,A,SB
2026-08-07,S5,A,M
2026-08-07,S6,B,A
2026-08-07,S7,B,OFF
2026-08-07,S8,B,M
2026-08-07,S9,B,SB
2026-08-07,S10,B,N
2026-08-08,S1,A,SB
2026-08-08,S2,A,OFF
2026-08-08,S3,A,M
2026-08-08,S4,A,A
2026-08-08,S5,A,N
2026-08-08,S6,B,A
2026-08-08,S7,B,OFF
2026-08-08,S8,B,M
2026-08-08,S9,B,N
2026-08-08,S10,B,SB
2026-08-09,S1,A,N
2026-08-09,S2,A,OFF
2026-08-09,S3,A,M
2026-08-09,S4,A,SB
2026-08-09,S5,A,A
2026-08-09,S6,B,M
2026-08-09,S7,B,N
2026-08-09,S8,B,SB
2026-08-09,S9,B,A
2026-08-09,S10,B,OFF
2026-08-10,S1,A,SB
2026-08-10,S2,A,A
2026-08-10,S3,A,M
2026-08-10,S4,A,OFF
2026-08-10,S5,A,N
2026-08-10,S6,B,SB
2026-08-10,S7,B,A
